"employee_id","cost_center","punch_in_time","punch_out_time","punch_apply_date","hours_worked","paycode"
"1377208","53410",NULL,NULL,"2021-04-23","1","CHARGE"
"1377208","53410","14:10:00","18:45:00","2021-04-23","4.6","WRK"
"1377208","53410",NULL,NULL,"2021-04-23","0.7","BREAK"
"1377208","53410","19:24:00","22:10:00","2021-04-23","2.8","WRK"
"1672200","11151",NULL,NULL,"2021-04-23","5","ON_CALL"
"1672200","11151","06:12:00","09:12:00","2021-04-23","3","WRK"
"1977006","54013",NULL,NULL,"2021-04-23","8","ABSENT"
"3974506","31288",NULL,NULL,"2021-04-23","8","ABSENT"
"4019778","54013","06:05:00","09:44:00","2021-04-23","3.7","WRK"
"4019778","54013",NULL,NULL,"2021-04-23","0.8","BREAK"
"4019778","54013","10:32:00","14:05:00","2021-04-23","3.5","WRK"
"4024378","55050","14:14:00","16:52:00","2021-04-23","2.6","WRK"
"4024378","55050",NULL,NULL,"2021-04-23","0.9","BREAK"
"4024378","55050","17:45:00","22:14:00","2021-04-23","4.5","WRK"
"5001188","54013",NULL,NULL,"2021-04-23","5","ON_CALL"
"5001188","54013","14:19:00","17:19:00","2021-04-23","3","WRK"
"5001252","53410",NULL,NULL,"2021-04-23","7","ON_CALL"
"5001252","53410","14:17:00","15:17:00","2021-04-23","1","WRK"
"5005963","51120",NULL,NULL,"2021-04-23","8","ABSENT"
"5009770","51100",NULL,NULL,"2021-04-23","8","ABSENT"
"5010823","53410",NULL,NULL,"2021-04-23","8","ABSENT"
"5010831","55050",NULL,NULL,"2021-04-23","7","ON_CALL"
"5010831","55050","14:10:00","15:10:00","2021-04-23","1","WRK"
"5010836","55050",NULL,NULL,"2021-04-23","6","ON_CALL"
"5010836","55050","06:15:00","08:15:00","2021-04-23","2","WRK"
"5011015","55050",NULL,NULL,"2021-04-23","6","ON_CALL"
"5011015","55050","14:08:00","16:08:00","2021-04-23","2","WRK"
"5011018","51100",NULL,NULL,"2021-04-23","6","ON_CALL"
"5011018","51100","14:10:00","16:10:00","2021-04-23","2","WRK"
"5011060","55050",NULL,NULL,"2021-04-23","8","ABSENT"
"5011105","11151",NULL,NULL,"2021-04-23","2","CHARGE"
"5011105","11151","14:14:00","16:45:00","2021-04-23","2.5","WRK"
"5011105","11151",NULL,NULL,"2021-04-23","0.6","BREAK"
"5011105","11151","17:23:00","22:14:00","2021-04-23","4.8","WRK"
"5011401","55050","06:19:00","08:56:00","2021-04-23","2.6","WRK"
"5011401","55050",NULL,NULL,"2021-04-23","0.7","BREAK"
"5011401","55050","09:36:00","14:19:00","2021-04-23","4.7","WRK"
"5011499","31288","06:09:00","08:58:00","2021-04-23","2.8","WRK"
"5011499","31288",NULL,NULL,"2021-04-23","0.7","BREAK"
"5011499","31288","09:42:00","14:09:00","2021-04-23","4.5","WRK"
"5011633","53410",NULL,NULL,"2021-04-23","6","ON_CALL"
"5011633","53410","14:19:00","16:19:00","2021-04-23","2","WRK"
"5012159","51120",NULL,NULL,"2021-04-23","5","ON_CALL"
"5012159","51120","14:09:00","17:09:00","2021-04-23","3","WRK"
"5012163","31288",NULL,NULL,"2021-04-23","6","ON_CALL"
"5012163","31288","14:09:00","16:09:00","2021-04-23","2","WRK"
"5012165","31288",NULL,NULL,"2021-04-23","5","ON_CALL"
"5012165","31288","14:10:00","17:10:00","2021-04-23","3","WRK"
"5012329","18048",NULL,NULL,"2021-04-23","6","ON_CALL"
